date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:35:53	279149/279149	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Nov%202023%2012:58:26%20GMT	https://www.globalgoals.org/goals/10-reduced-inequalities/	C:/My%20Web%20Sites/a/www.globalgoals.org/goals/10-reduced-inequalities/index.html	(from https://www.globalgoals.org/goals/)
18:35:53	280299/280299	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Nov%202023%2012:58:51%20GMT	https://www.globalgoals.org/goals/11-sustainable-cities-and-communities/	C:/My%20Web%20Sites/a/www.globalgoals.org/goals/11-sustainable-cities-and-communities/index.html	(from https://www.globalgoals.org/goals/)
18:35:53	280558/280558	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Nov%202023%2013:04:16%20GMT	https://www.globalgoals.org/goals/12-responsible-consumption-and-production/	C:/My%20Web%20Sites/a/www.globalgoals.org/goals/12-responsible-consumption-and-production/index.html	(from https://www.globalgoals.org/goals/)
18:35:53	277033/277033	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Nov%202023%2013:04:23%20GMT	https://www.globalgoals.org/goals/13-climate-action/	C:/My%20Web%20Sites/a/www.globalgoals.org/goals/13-climate-action/index.html	(from https://www.globalgoals.org/goals/)
18:35:54	279991/279991	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Nov%202023%2013:00:15%20GMT	https://www.globalgoals.org/goals/14-life-below-water/	C:/My%20Web%20Sites/a/www.globalgoals.org/goals/14-life-below-water/index.html	(from https://www.globalgoals.org/goals/)
18:35:54	14123/14123	---M--	200	added ('OK')	image/png	etag:%22372b-5d8878ff5f9c0%22	https://globalgoalscms.co.uk/wp-content/uploads/2021/09/1.png	C:/My%20Web%20Sites/a/globalgoalscms.co.uk/wp-content/uploads/2021/09/1.png	(from https://www.globalgoals.org/goals/1-no-poverty/)
18:35:54	282548/282548	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Nov%202023%2013:04:05%20GMT	https://www.globalgoals.org/goals/15-life-on-land/	C:/My%20Web%20Sites/a/www.globalgoals.org/goals/15-life-on-land/index.html	(from https://www.globalgoals.org/goals/)
18:35:54	4594/4594	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b897a253224070ada6f953ffb130479c%22	https://www.globalgoals.org/static/layout-goal.module.a951d1455b9ddfc04a70.js	C:/My%20Web%20Sites/a/www.globalgoals.org/static/layout-goal.module.a951d1455b9ddfc04a70.js	(from https://www.globalgoals.org/goals/1-no-poverty/)
18:35:54	282546/282546	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Nov%202023%2012:56:28%20GMT	https://www.globalgoals.org/goals/16-peace-justice-and-strong-institutions/	C:/My%20Web%20Sites/a/www.globalgoals.org/goals/16-peace-justice-and-strong-institutions/index.html	(from https://www.globalgoals.org/goals/)
18:35:55	24/24	---M--	301	error ('Moved%20Permanently')	text/plain	date:Tue,%2021%20Nov%202023%2013:06:07%20GMT	http://globalgoalscms.co.uk/wp-content/uploads/2021/09/2.png	C:/My%20Web%20Sites/a/globalgoalscms.co.uk/wp-content/uploads/2021/09/2.e.delayed	(from https://www.globalgoals.org/goals/2-zero-hunger/)
18:35:55	4731/4731	---MCZ	200	added ('OK')	application/javascript	etag:W/%223a9a1dc2fc67c4456123092f734fac0e%22	https://www.globalgoals.org/static/layout-goal.es5.8a201775b84bc8545ab2.js	C:/My%20Web%20Sites/a/www.globalgoals.org/static/layout-goal.es5.8a201775b84bc8545ab2.js	(from https://www.globalgoals.org/goals/1-no-poverty/)
18:35:55	284458/284458	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Nov%202023%2012:59:00%20GMT	https://www.globalgoals.org/goals/17-partnerships-for-the-goals/	C:/My%20Web%20Sites/a/www.globalgoals.org/goals/17-partnerships-for-the-goals/index.html	(from https://www.globalgoals.org/goals/)
18:35:55	8762/8762	---M--	200	added ('OK')	image/png	etag:%22223a-5d8879571c8c0%22	https://globalgoalscms.co.uk/wp-content/uploads/2021/09/2.png	C:/My%20Web%20Sites/a/globalgoalscms.co.uk/wp-content/uploads/2021/09/2.png	(from https://www.globalgoals.org/goals/2-zero-hunger/)
18:35:57	24/24	---M--	301	error ('Moved%20Permanently')	text/plain	date:Tue,%2021%20Nov%202023%2013:06:09%20GMT	http://globalgoalscms.co.uk/wp-content/uploads/2021/09/3.png	C:/My%20Web%20Sites/a/globalgoalscms.co.uk/wp-content/uploads/2021/09/3.png	(from https://www.globalgoals.org/goals/3-good-health-and-well-being/)
18:35:57	12631/12631	---M--	200	added ('OK')	image/png	etag:%223157-5d887994258c0%22	https://globalgoalscms.co.uk/wp-content/uploads/2021/09/3.png	C:/My%20Web%20Sites/a/globalgoalscms.co.uk/wp-content/uploads/2021/09/3.png	(from https://www.globalgoals.org/goals/3-good-health-and-well-being/)
18:35:58	24/24	---M--	301	error ('Moved%20Permanently')	text/plain	date:Tue,%2021%20Nov%202023%2013:06:10%20GMT	http://globalgoalscms.co.uk/wp-content/uploads/2021/09/4.png	C:/My%20Web%20Sites/a/globalgoalscms.co.uk/wp-content/uploads/2021/09/4.png	(from https://www.globalgoals.org/goals/4-quality-education/)
18:35:58	8751/8751	---M--	200	added ('OK')	image/png	etag:%22222f-5d8879c899480%22	https://globalgoalscms.co.uk/wp-content/uploads/2021/09/4.png	C:/My%20Web%20Sites/a/globalgoalscms.co.uk/wp-content/uploads/2021/09/4.png	(from https://www.globalgoals.org/goals/4-quality-education/)
18:35:58	24/24	---M--	301	error ('Moved%20Permanently')	text/plain	date:Tue,%2021%20Nov%202023%2013:06:11%20GMT	http://globalgoalscms.co.uk/wp-content/uploads/2021/09/5.png	C:/My%20Web%20Sites/a/globalgoalscms.co.uk/wp-content/uploads/2021/09/5.png	(from https://www.globalgoals.org/goals/5-gender-equality/)
18:35:58	8927/8927	---M--	200	added ('OK')	image/png	etag:%2222df-5d8879f660080%22	https://globalgoalscms.co.uk/wp-content/uploads/2021/09/5.png	C:/My%20Web%20Sites/a/globalgoalscms.co.uk/wp-content/uploads/2021/09/5.png	(from https://www.globalgoals.org/goals/5-gender-equality/)
18:35:59	24/24	---M--	301	error ('Moved%20Permanently')	text/plain	date:Tue,%2021%20Nov%202023%2013:06:12%20GMT	http://globalgoalscms.co.uk/wp-content/uploads/2021/09/6.png	C:/My%20Web%20Sites/a/globalgoalscms.co.uk/wp-content/uploads/2021/09/6.png	(from https://www.globalgoals.org/goals/6-clean-water-and-sanitation/)
18:35:59	9839/9839	---M--	200	added ('OK')	image/png	etag:%22266f-5d887a2056380%22	https://globalgoalscms.co.uk/wp-content/uploads/2021/09/6.png	C:/My%20Web%20Sites/a/globalgoalscms.co.uk/wp-content/uploads/2021/09/6.png	(from https://www.globalgoals.org/goals/6-clean-water-and-sanitation/)
18:36:00	24/24	---M--	301	error ('Moved%20Permanently')	text/plain	date:Tue,%2021%20Nov%202023%2013:06:12%20GMT	http://globalgoalscms.co.uk/wp-content/uploads/2021/09/7.png	C:/My%20Web%20Sites/a/globalgoalscms.co.uk/wp-content/uploads/2021/09/7.png	(from https://www.globalgoals.org/goals/7-affordable-and-clean-energy/)
